EventDescription,FailedAssets,CauseTechnical,Category
"Customer reported a small ground fire at the incident location. 
On arrival the crew found that an elm tree branch had come down in windy conditions and contacted a 3 phase open wire low voltage line. 
There was a small ground fire of approximately 3m².
There were no injuries.",Conductor (bare),,Trees
"Customer reported copper theft and damage to electrical equipment at incident location.  On arrival the crew found that the ground type enclosure had been breached by thieves, a ground type transformer has been tipped on its side, the lid opened and an attempt to remove the copper core had taken place, the entire oil contents of the transformer were released into the bunded area, the HV cables supplying the transformer were also cut and stolen from pole to transformer bushings. Customer side assets were also stripped ( copper bus in CT metering cabinet ), the fence was also extensively damaged to the ground type enclosure.
There were no reported injuries, no ground fire
Note: This installation was already isolated from supply (unused asset)",Pad mounted equipment/kiosk,,Other
"IMS 232631. Initial Report: Customer reported no supply. tree on HV. wire down and  localised ground fire reported. Fault crew arrived on-site and observed a HV conductor was down resting on a Gum tree. A broken HV conductor resulting in a small burnt grassed area of size 500mm x 500mm. Nil injuries or property damage. CFA were on-site. Semi mature Eucalyptus viminalis, H 18m, DBH 350mm has had line side leader fault and fall onto HV conductors. No signs of decay or previous faults at site of fault. Trunk was located 6-10m from the HV line.


Final Report:  Under INCD-166784-r, reports of a fire around LIS #2210545.",Conductor (bare),,Trees
IMS 232632 - Conductor down - caused by tree - grass fire in area 30m x 2.5m.  Tree come down onto 22kV conductors. There was a 52m x 5m fire along the fence line in the area. Wind event caused two Cypress trees that formed a line of trees of a farm shelter belt to heave and impact the lines. Fire started. A site inspection identified a tree adjacent to a failed tree required urgent works. Crew activated to be reduced to below line height immediately. The tree trunk was located 5m from the HV line. The tree was a private tree.,Conductor (bare),,Trees
"IMS 232633. Reported tree on HV and fire in the vicinity. Under INCD-166774-r, reports of a fire around LIS #2718525. A gum tree branch broke off in high winds and landed on the HV conductor (3/12 steel) single phase. The branch broke off and landed on the conductors breaking one and trapping one. The fire size was 12,000 sq. metres in size. The main tree trunk is 15 metres away from the HV conductor. The tree is classed as a private tree. The tree branch in length was about 22 metres long and the tree height is about 30 to 40 metres in height from ground level.",Conductor (bare),,Trees
"66Kv Feeder CB for BGO EHK 66Kv Went to Lockout during wind storm.
Line patrol found tree in contact with 66Kv at Pole # 22 LIS # 413178 in gusty wind in VLine Reserve near the corner of Mundy and McLaren Streets BENDIGO. 
There was a ground fire 15 Metres X 8 Metres.
There were no reported shocks, No third party damage.",Conductor (bare),,Trees
"Employee reports a broken HV Xarm at P84 Melton line. Xarm burnt though at king bolt and hanging from pole by bridges. 
No ground fire start.  
There were no reported shocks or injuries.",Crossarm (wood),Leakage,Crossarm
"Resident reported receiving an electric shock from her color-bond boundary fence. After identifying the area where the shock was received (boundary color-bond fence), LEI conducted a voltage test and found that the fence and a metal garage in contact with the fence had a reading of 240v to earth.",Neutral screen,Neutral fault,OH Cable
"HV earth cut away by vandals who attempted to pull away underground service cable, and damaged neutral bushing in doing so.",Services cable;Pole mounted;Earth/earthing,,Other
"3.25PM - Zinfra advised United Energy that a ""Reverse Polarity"" occurred following work by a subcontractor (Universal).  The crew have remained on-site. 
3.35PM - United Energy advised ESV who will be attending and requested the site be quarantined. (Reference No. 9442876).

The property is located at 39 Wickham Road, Hampton East and the initial investigation revealed. 
•	3 Universal lineworkers directly involved in incident were completing a supply upgrade for a new pole to pit underground supply for number 41Wickham Road
•	Connections found to be transposed in the pole mounted junction box on the service pole.  Active to active and the neutral connected to an active conductor in the pole junction box
•	LV fuse cartridge had been left in at the point of attachment and the crew failed to correctly prepare the installation as a requirement of the VESI Installation Supply Connection Tests & Procedures
•	Licenced Electrical Inspector Frank Zahra (EIV) attended and completed an internal examination of the customers electrical equipment and identified that a Low Voltage injection occurred that damaged the customers air conditioning unit and stove.  United Energy Customer Resolution team worked with the REC to rectify the damage in a timely manner.

An onsite investigation took place and supply was restored following rectification of the transposed conductors.",Service conductor;Aluminium twisted (XLPE),HV injection;Reverse polarity,Other
"At 0454hrs on 01/03/2018, 22kV feeder CDA 22 circuit breaker successfully reclosed and held. 
At 0542hrs on 01/03/2018, 22kV feeder CDA 22 circuit breaker reclosed to lockout affecting 360 customers.

Following light rain after a lengthy dry spell, a cross arm fire occurred at pole No. LIS 2330256 located outside 113 Elder Street.  The HV strain cross arm had HV isolators (OA3477) attached and the creaser fire occurred at the cross arm brace.  A HV conductor fell with the isolator attached and made brief contact with the LV conductors below and the faults crew requested that a LEI attend as a HVI was suspected to customers supplied from ""Rosella-Burke"" and ""Elder-Tina"" substations.  The LEI tested properties in the vicinity and confirmed that a high voltage injection did not occur.",Crossarm (wood),Leakage,Crossarm
"IMS 232621. Initial Report: Fire brigade reported grass fire at 185 Banumum Rd, Mansfield. Fault Crew attended. Tree contacted an overhead HV conductor.

Final Report: Fire brigade reported a grass fire at 185 Banumum Rd, Mansfield. Fault crew attended site and found head of a gum tree resting on HV conductors between pole 17A Bostock Spur line LIS 3918933 and pole 17AE Bostock Spur line LIS 3918934. The tree appeared to spilt at the base of the tree trunk. It was an extremely windy day.",Conductor (bare),,Trees
"IMS 232622. Received INCD for part supply failures and also that a truck had contacted OH conductors.

THE HYBRIG AG INSTALLATION AT 52 BUCKLER RD WANGARATTA NORTH PRODUCES THE ADBLUE CHEMICAL FROM ORGANIC MATTER AT THIS SITE. THE FACTORY ACCEPTS LARGE VOLUMES OF ORGANIC MATERIAL DELIVERED TO THEIR SITE AND PROCESSES THIS MATERIAL ONSITE. IT WOULD APPEAR THAT TIM PETTY FROM SOIL & TOIL WAS DELIVERING SOME BULK MATERIALS IN A TANDEM TIPPER AND HAS RAISED HIS TIP[PER UNDER OUR 22,00VOLT SINGLE PHASED DOM REST SPUR BETWEEN POLE 5 (565722) AND POLE 6 (5652723) AND CONTACTED ONE OR BOTH PHASES WHICH HAS RESULTED IN THE 22,000 VOLT SPUR FUSE AT POLE 513094 <826218>. AUNSET FAULTS PERSONNEL ATTENDED THE BLOWN LINE FUSE AND PATROLLED THE LINE BEFORE REPLACING THE FUSE AND RESTORING SUPPLY. WHILST NO CAUSE COULD BE LOCATED AT THE TIME, THEY WERE ADVISE THAT A TIP TRUCK HAD CONTACTED THE OVERHEAD CONDUCTORS AT THE HYBRID AG INSTALLATION IN BUCKLER RD. NOTE: THIS HAS BEEN THE SECOND OCCURENCE OF A TIPPER CONTACTING THE OVERHEAD LINE IN 12MONTHS AND WHILST IT IS NOT KNOWN WHETHER THE SAME VEHICLE/DRIVER/COMPANY WERE RESPONSIBLE FOR THE PREVIOUS INCIDENT, IT IS BELIEVED IT OCCURRED WITHIN THE SAME SPAN OF OVERHEAD CONDUCTOR.",Conductor (bare),,Vehicle
"IMS 232692. Initial Report: On 2 March 2018 CEOT received INCD for a grass fire at this address. Caller stated that it was caused by AusNet Services and that it was on 23rd February 2018.  Advice from Bruce Phillips (Investigation Officer): There was no supply interruption on 23 February. Arcing at pole LIS 28777 caused by incorrect clearance between HV conductor and the aerial stay wire and a small grass fire of 50m x 30m in size resulted. The HV line was a slack bay and required re-sagging. Also, we do not know the time the grass fire started.

Final Report: Arcing at pole LIS 28777 caused by in correct clearance between HV conductor and aerial stay wire resulted in a small grass fire of approximate size 50 m x 30 m. There is no investigation report available. All details are included in this OSIRIS incident record. Additional inclusion of the Plan of Information to the Notes and Findings tab.",Conductor (bare);Guy wire,Not built/maintained to design,Conductor
"Initial report: IMS 232756. Successful reclose on WN068. Report of fire in area.

Final Report: CFA attended call to grass fire on the 07.03.18, ~9:17am and extinguished grass fire in vicinity of pole 5103947. Approximate area 50-100 sq. metres. Fault Crew attended site and witnessed remains of birds nest in ACR (WN068). No other damage.",Pole (concrete),,Animal
"At 0607hrs on 01/03/2018, 22kV feeder BH 21 circuit breaker reclosed to lockout affecting 1075 customers.

Following light rain after a lengthy dry spell, a HV intermediate cross arm fire occurred at pole No. LIS 7037441 located outside 2 Asquith Street.   A HV conductor fell and made brief contact with the LV conductors and street light below and the faults crew requested that a LEI attend as a HVI was suspected to customers supplied from ""Douglas-Station"" substation.  The LEI tested properties in the vicinity and confirmed that a high voltage injection did not occur.",Crossarm (wood),Electrical breakdown;Leakage,Crossarm
"MFB reports that a  box on the pole is on fire.

A krone box attached to pole No. LIS 7033760 caught on fire due to a possum that was on the top of the LV krone box with tracking occurring.  The possum was removed and ""Morton Park- Glen Ebor"" substation was placed under LV parallel and will be replaced in daylight tomorrow.",Connection box,,Animal
"At 0521hrs on 01/03/2018, a HV termination cross arm failed and requires replacement.

Following light rain after a lengthy dry spell, a cross arm fire occurred at pole No. LIS 1807136 located in Barkly Street opposite Edith Street.  The HV fuse units at ""Barkly-Edith"" pole type substation were tracking and caused the termination cross arm to burn through and fall down with the fuse unit still attached.  No high voltage injection was suspected and an inspector wasn't required to investigate.",Crossarm (wood),Electrical breakdown;Leakage,Crossarm
"HV crossarm fire due to tracking/electrical leakage
Photos attached in ""Notes and Findings"" section",Crossarm (wood),Leakage,Crossarm
"Sub-transmission pole and crossarm fire reported by MFB and Citipower
No ground fire
No photo is available",Pole (wood),Leakage,Crossarm
"Jemena’s new connection contractor Zinfra, had attended 27A Challis St, Newport for connection of new overhead customer service supply.
On arrival at the site, the crew had identified a No Go Zone breach by the builder with the construction of the new property to the neighbouring property service supply as per the attached photos (in the Notes and Findings section)
The crew had advised their team leader of the NGZ breach, with only 600mm clearance from the new balcony and can be easily reached and touched by the future occupier of the new dwelling. 
For more information, please contact Nick Mateski from Jemena Works Practices on 0417339536",Service conductor,,Other
"At 0707hrs on 01/03/2018, the MFB advised of a pole on fire in Mitcham Road near the corner of Canterbury Road.

Following light rain after a lengthy dry spell, a cross arm fire occurred at pole No. LIS 0639555 located on the corner of  Mitcham and Canterbury Roads.  The HV insulator on the strain cross arm has burnt off and was on fire.",Crossarm (wood),Electrical breakdown;Leakage,Crossarm
"At 0707hrs on 01/03/2018, the MFB advised of a pole on fire in Golf View Road on the corner of Henry Street.

Following light rain after a lengthy dry spell, a cross arm fire occurred at the HV/LV tee-off pole (LIS 1814372) located on the corner of Golf View Road and Henry Street.",Crossarm (wood),Electrical breakdown;Leakage,Crossarm
"At 0739hrs on 01/03/2018, a driver contacted the United Energy faults and emergency call centre advising that a strut on a pole located in Mount Pleasant Road approximately 300m from the Canterbury Road intersection is on fire.  The pole is outside 1 Wendy St.

Following light rain after a lengthy dry spell, a cross arm fire occurred at the HV/LV tee-off pole (LIS 7033439) located on the corner of Mount Pleasant Road and Fisher Street.  The HV tee-off supplied ""Wendy-Mount Pleasant"" substation that was placed under LV parallel to maintain supply to customers whilst the HV cross arm was replaced.",Crossarm (wood),Electrical breakdown;Leakage,Crossarm
"A Powercor fault crew attending an outage found that a vehicle contacted HV Swer conductor at the incident location. Protection operated. 
There were no injuries, fire or third-party damage.",Conductor (bare),,Vehicle
Ms Sarah Drylie was in the Bathroom showering when she received an electric shock as she made simultaneous contact between her hand on the metal tap and her bare feet while standing on the wet shower base.,Service conductor,Corrosion,Connection
Customer received minor electric shock from shower taps whilst showering.,Connection box,Neutral fault,Connection
"A civil contractor reported that they had contacted an underground cable with an excavator at the incident location, there were no sparks but some they saw smoke coming from the cable.
On arrival the crew found that a worker from Symon Brothers Constructions (ph. 0394602888) was operating an excavator and contacted a LV underground service cable causing damage to the cable. 
There were no civil workers on site when the crew arrived and found the damaged cable live and exposed in the trench. 
 
There was no ground fire and no injury as a result of this incident.",Cable,,Dug up
IMS 232690. CEOT received INCD call for a Pole Fire.  LV fuse isolator on a substation pole had a poor connection. NO PHOTOS WERE TAKEN.,Any other type,Overheated connection,Connection
"A customer, Suzanne Hall advised a wire had come down and resulted in fire on the nature strip.
On arrival the crew found that a catenary and service cable had faulted and come to ground. This caused a ground fire of approximately 10m X 5m. 
There was no injury or third party damage reported.",Service conductor,Unknown technical factor,OH Cable
Ms Sally Towell was in the Bathroom showering when she received an electric shock as she made simultaneous contact between her hand on the shower taps and her bare feet whilst standing on the wet shower base.,Connection box,Corrosion,Connection
Strong winds caused tree branch to fall into the low voltage conductors causing then to fall to the ground.,Conductor (bare),Conductor clashing,Trees
Underground public lighting cable stolen between eight (8) public street light poles.,Services cable,,Other
"No Go Zone infringement outside 30 Craig St in Spotswood.
Excavator contacted aerial earth wire, which snapped and fell to the ground.
Photos attached in ""Notes & Findings"" section",Conductor (bare),,Vehicle
"Customer called reporting a pole fire at the incident location.
On arrival the crew found that a wooden termination cross-arm failed due to fire damage at the bridging insulator / disc string hardware mounting points, the overhead conductor remained suspended held up by the bridge.
There was no ground fire, no reported injuries, no 3rd party damage",Crossarm (wood),Leakage,Crossarm
"SCADA alarm for SHL008 feeder lockout initiated a fault crew investigating the outage cause, discovering a pole fire at the incident location. On arrival the crew found that a wooden intermediate cross-arm failed due to fire damage at a cross-arm strap resulting in the conductor falling onto the LV circuit below, contacting the red phase.
There was no ground fire, no reported injuries, no 3rd party damage, no evidence of HV injection was found by LEI.",Crossarm (wood),Leakage,Pole
IMS 232880. POLE FIRE ON INTERMEDIATE POLE LIS 50606 DUE TO TRACKING ON LV XARM. Fault crew were called to a  pole fire which was caused by tracking on LV cross arm due to faulty pin insulator and build up of dust. Drizzle weather conditions prevailed. NO PHOTOS WERE TAKEN.,Crossarm (wood),Leakage,Crossarm
"Customer called to advise Rain went into pit and caught on fire. It is still on fire. No supply. 
There was no reported ground fire, injury or shocks as a result of this incident.",Services pit,Moisture ingress,UG Cable
"Whilst Powercor Fault-Crew where working in the area after a storm and a number of faults, it was discovered that the earth cable appears to have been stolen @ Strathtulloh P18,.
There were no reported shock’s, injuries, fire or third party damage as a result of this incident.",Earth/earthing,,Other
"Customer rang to advise he heard a loud bang and reports ground fire at the incident location. 
There was a reclose of the SHTS-STN 66kV line at that time. 
A crew attended and found a 3mx3m grass fire had start at the base of S/S P13 Ford Tie S/L, Fire had self-extinguished when crew arrived. 
Crew advise a pair of birds had flashed over on the 66kV pole SHTS-STN P9 on the cnr of Verney Rd and Ford Rd, resulting in a HVI into a street lighting CCT that was fed from the Ford Rd P13 S/S. 
This flash over caused damage to a  66kV insulator on P9, 9 damaged street lights and a melted fuse box on P13, that started the ground fire
 An LEI attended. No damage to customer installation identified. The crew replaced the fuse box and left the street lighting CCT off supply awaiting repairs. Damaged 66kV insulator listed for replacement.
There were no reported shocks or injuries.",Conductor (bare),,Animal
"HV conductor fell down to ground due to parallel groove (PG) clamp connector failure at a weak point, which was triggered by a fault current passing through it.  The fault current was triggered by a switching error (refer to the ""Cause"" section for details). 
Protection operated correctly according to design in response to the primary and secondary faults, therefore the HV conductor was de-energised when it fell to ground and did not pose a safety risk to the public. 
Photos attached in ""Notes & Findings"" section",Conductor (bare);Connector/termination,Age;Earth fault,Connection
Melbourne Water plumbers were working on water pipes located in the nature strip. The plumber working on the metallic pipes  received an electric shock when he made contact with the metallic pipe and direct contact with the general mass of earth. The plumber who had received the electric shock was not on-site at the time of investigation and was not contactable.,Service conductor;Neutral screen,Neutral fault,UG Cable
Naseem received an electric shock when she simultaneously contacted the metallic tap with one hand and the metallic shower base trap with her foot.,Service conductor,Corrosion,Connection
"IMS 233328. Initial Report: CEOT received a call from Fire Brigade for fire at base of a pole.  A magpie caused a flashover  on a BA fuse unit.

Final Report from attending DAO: A dead Magpie was found at the base of a pole and there were burn marks at the top of BA fuse and the pole. Magpie dead on the ground. HV fuses did not blow, no loss of supply. There was also a small grass fire in the vicinity of the base of the pole.",Pole top;Boric acid,,Animal
"Caller reports that an electric shock was received from a tap in the bathroom and the lights are flickering.

The occupier received a slight electric shock from a shower tap and has noticed the recent constant flickering lights and contacted the United Energy faults and emergencies call centre.  She also advised that a noise could be heard at the front of the house.",Customer installation,Fault on customer installation,Connection
"The MFB reports there are wires down outside this address and a trouble order was previously created for a unplanned low voltage outage to customers supplied from ""Balcombe-Safeway Co"" Indoor substation.

A LV midspan joint failed between pole numbers LIS 1820428 and 3444804 located outside 105 Balcombe Road, Mentone that resulted in the red phase LV conductor to fall de-energised to the ground.",Conductor (bare);Copper,Mechanical breakdown,Connection
"A customer called regarding a supply interruption.
The crew attended and found failed transformers in the area. Harrison F’Water Ck transformer had been hit by lightning and this resulted in a ground fire. 
The fire was approximately 1 X 2 meters. 
No injury or third party damage had occurred.",Pole mounted;Transformer,,Lightning
The occupier noticed the recent dimming of lights and an electric shock was received from the kitchen kettle.  There was high winds and rain at the time of the fault.,Boric acid,,Fuse
"Caller reports the high voltage pole top is burning.

Following light rain after a lengthy dry spell, a cross arm fire occurred at pole No. LIS 1822160 located outside 1300 Nepean Highway, Cheltenham.  The HV glass disc insulators for the centre and road side phases had been tracking on the wet pole and burnt out a large hole under the GFB switch (CH8926).",Pole (wood),Leakage,Crossarm
"Caller reports they have lost their electricity supply.

During strong winds, a council tree has brought down the single phase overhead service outside 1 Nashs Lane, Red Hill.  The service fell down alive and when the faults crew arrived on site, unknown persons had removed the live service from the road way.  No shocks or injuries were reported.",Service conductor,,Trees
"Harry from the Wood Group called to report that he received an electric shock from the distribution board at the Yarra Valley Water flow cabinet.

Woods Group were completing maintenance work on the Yarra Valley Water flow water cabinet located in the nature strip outside 161 Huntingdale Road and the REC received an electric shock to his hand from the cabinet enclosure.",Service conductor,Neutral fault,Connection
"Customer advised that a branch come into contact with the electricity cable for the house and there was fire evident on the wire and not on the branch.  The customer has turned off the main switch.

During strong winds and rain, a private tree branch was rubbing on the single phase overhead service that caused the tree voltage to catch fire.",Service conductor,,Trees
"The MFB reports that a transformer is on fire in Henry Crescent on the corner of Austin Road.

During strong winds and rain, a tree branch from Austin Reserve was blown onto the transformer at ""Austin-Henry"" pole type station that caused a HV 16amp powder filled fuse to operate.  In addition, the HV bushing cover was melted and a HV fuse unit was damaged that caused a flashover.",Dropper/bridge,,Trees
"Truck contacted pole and ground fire some  distance away was attributed to fault current damage.
A ground fire was reported at the address in this report and crews found a HV cable termination requires repair. A  separate report of a truck contacting  a pole, twisting cross-arm and dislodging conductor was also received . This pole is on the same feeder and downstream of the ground fire location by some 2.1 Km.",Conductor (bare);Cable,Overheated connection,Vehicle
"Caller reported the service connecting to the property has detached from the POA and isn't sure how it has happened.  The house is being demolished and access is okay.

Michael called the United Energy faults and emergencies call centre of a wire down after the home has been demolished.  He wasn't sure how it happened but must have occurred last night.  No shocks or injuries have been received.",Service conductor;Aluminium,,Other
"A report was received from a customer of sparks coming from our pole at the above location. 
On arrival the crew found that the 100A FOLCB had overheated and caught fire. 
Molten plastic and metal had dropped to the ground and caused a small grass fire which burnt an area 5 x 1 metres. 
The CFA were onsite and had extinguished the fire.
 There was no injury, shock or third party damage.",Connection box,Overheated connection,Connection
"IMS 233463. Initial Report: Contact with UG HV cable ex RWN32 o/s 113 Oban Rd, Tina Carindi, HESQ contact for Multinet Gas (0400 917254). (CEOT created a late incident record in IMS on 4 May).

Final report: A Backhoe hit an UG HV cable o/s 113 Oban Rd, HV cable damage, notification send to UG crew for repair. Tina Carindi HSEQ for Multinet Gas (Comdain Infrstructure), tel 0400917254. AusNet Services CEOT Incident No. 172628-r. HV cable to be repaired tomorrow Tuesday 1st May. Damage Recovery advised.

TC 6305298787 - Caller reports that during gas works they have dug 2 holes near this premises. After returning to the first hole they found arcing. Also reports that areas of streetlights went out as arcing happened.

Protection operation followed by isolation of faulted section.",Cable,,Dug up
"At 0711hrs on 04/05/2018, 22kV feeder CRM 13 circuit breaker reclosed to lockout affecting 130 customers.

A truck contacted a stay wire at pole No. LIS 3307590 on the corner of Rutherford Road and Oliphant Street that caused the feeder protection to lockout when the conductors clashed.  Following a patrol, the feeder was re-energised and a HV connection failed at pole No. LIS 3307585 located in Rutherford Road on the corner of Keppler Circuit causing a HV conductor to fall to the ground.  The HV conductor made brief contact with a LV conductor below and the faults crew requested that a LEI attend as a HVI was suspected to customers supplied from the west circuit of ""Rutherford-Stephenson"" substation.  The LEI confirmed a high voltage injection occurred (BWD 1809) affecting customers who reside in the vicinity that sustained minor damage to appliances and equipment.",Conductor (bare);Guy wire,Conductor clashing;HV injection,Vehicle
"Caller reports of intermittent supply as the appliances have been surging and going on and off.  He advised that an electric shock was also received when cleaning his teeth this morning.

The occupier noticed the electricity supply was intermittent with appliances not working correctly and an electric shock was received from the bathroom tap.",Customer installation,Fault on customer installation,Connection
"All supply failure reported, crew attended at incident location.
They walked an inaccessible area and found SWER Intermediate Pole 6 Appin South had burnt off. 
An area of 100m Square was reported as burnt.
There was no reported shocks, no injuries reported. No CFA in attendance.",Pole (wood),Leakage,Conductor
IMS 233053. CANDLED EDO FUSE AT SWITCH BW1236.,EDO fuse,Candled fuse,Fuse
"A Powercor fault crew attending a feeder outage on MNA034 found that a pole top burnt through at Pogue P3E.
There were shocks, no injuries or ground fire start.",Pole (wood),Leakage,Pole
"IMS 233108. Customer received an electric shock to his hands whilst attempting to repair a damaged copper water pipe in this front yard. 

AusNet Services' LEI tested voltage with an independent earth to taps and area around damaged pipe which at the time was full of water. The attending LEI performed subsequent votage tests to Independent Earth, a reading of 0 Volts (AC) was obtained at the alleged point of contact and all metallic parts of the installation, including at the installation switchboard under loaded condition. Supply voltage at the installation switchboard was measured at 252 volts (AC).  An NST test was performed at the customer's switchboard, a PASS result was obtained.",Connector/termination,Corrosion;Neutral fault,Connection
"Nathan (0403 770 587) from Cross Yarra Partnership reported an excavator made contact with an LV UG cable at 380-398 St Kilda Road, Melbourne.
Field crew dispatched to investigate.
On arrival it was found that a service pit and underground service cable where damaged by an excavator.
This damaged cable supplied public lights it was found that between 15 and 20 public lights where without supply as a result of the incident. 
There was no injuries or third party damage reported",Cable,,Dug up
"Report of a pole fire at the incident location.
There was no ground fire, no reported injuries or third party property damage.",Crossarm (wood),Leakage,Pole
"CFA report there is a pole on fire opposite the caravan park.

Following light rain, a timber substation pole located opposite the caravan park on the foreshore of Port Phillip Bay was smoking internally as the centre phase HV dressing down insulator was tracking badly due to the substations location.  The faults crew isolated ""Marine-Prescott"" pole type substation and the CFA hosed the pole down until the smoking ceased.",Pole (wood),Leakage,Pole
"Customer reported a pole fire at incident location.
There was no ground fire, no reported injuries or third party property damage.",Crossarm (wood),Leakage,Pole
"Customer reported a pole fire at the incident location.
There was no ground fire, no reported injuries or third party property damage.",Crossarm (wood),Leakage,Pole
"Customer reported pole fire at incident location.
There was no ground fire, no reported injuries or third party property damage.",Crossarm (wood),Leakage,Pole
"IMS 233123. A COAXIAL CABLE HAS COME INTO CONTACT WITH HV AT LIS 1209775. NBN CREW WORKING ON SITE BUT LEFT AS AUSNET SERVICES' FAULT CREW ARRIVED. BURNT CABLE FOUND AT BASE OF POLE (INITIALLY BELIEVED TO BE CAUSED BY A BRANCH RE: @ LIS 1209775. BRANCH FALLEN THROUGH HV. NO DAMAGE TO HV OR LV. NO SIGN OF FIRE OR HVI. TC 6305555898 - Customer saw street wire sparking before losing power.

An NBN worker caused a NBN Coaxial cable to make contact with overhead 22 kV conductor causing a flashover and the communications cable to burn. 

BWR23 FDR 22KV CB operated.",Conductor (bare),,Other
IMS 233210 - Member of public drove car into LV end of kiosk 'NIGHTINGALE -WREN' and damaged LV and HV Cables and LV switchgear.,Pad mounted equipment/kiosk,,Vehicle
"Report of pole fire at incident location.
There was no ground fire, no reported injuries and no third part property damage.",Crossarm (wood),Leakage,Pole
"Moorabbin Kangaroos Football Club - Caller advised the MFB have attended and put a fire out but exposed cables have exploded.  No fire now as the fire has been put out.

A fire occurred at a three phase FOLCB at a service pole located within the property in the car park.  The FOLCB was supplied by an overhead cable that supplied an underground service cable to the sporting club.  The probable cause was an overheated connection due to overload or a loose connection.",Connection box,Overheated connection,Connection
"Civil worker reports receiving a slight electrical shock whilst using a steel shovel to excavate around live Powercor underground cable. It was apparent the underground cable had been dug up and damaged by an excavator although the excavator wasn’t near the hole on arrival.

Thorough visual inspection of the damaged cable by Powercor underground crews were unable to find any sign of primary insulation failure that may have explained how the worker received the shock. Cable outer jacket was repaired and left in service.",Cable,,Dug up
"customer reported receiving an electric shock when she touched the flexible shower hose of her shower.
The service truck attended prior to the CTA and carried out testing at the POA. The service truck reports an NST fail",Connector/termination,Mechanical breakdown,Connection
"Customer was standing beside the Spa when she received an electric shock as she made simultaneous contact with one hand in the water and her bare feet while standing on the wet paved area adjacent the Spa.

Voltage tests between an independent earth and various parts of the electrical installation, including the distribution assets, identified a corroded Service Neutral Conductor termination at the Network FOLCB located on the Reticulation Pole forming part of the U/G Service supplying the property. (Twisted Service Dress Down Cable between the Reticulation Conductors and the FOLCB), causing a higher than normal impedance within the neutral service conductor.",Dropper/bridge,Corrosion,Connection
"Customer received an electric shock as he made simultaneous contact between his hands on the outside taps and his feet while standing on the wet ground.

Voltage tests between an independent earth and various parts of the electrical installation, including the distribution assets, identified a corroded conductor  in fused mains box",Aluminium twisted (grey),Corrosion,Connection
"Contractor on site advised that his crews are receiving electric shocks from the on-site crane near the corner of Poath Road and Railway Parade opposite the Hughesdale Railway station.  Mentions that no power lines have been hit and the crane is 8m from the power lines. The crews have ceased work for the evening but he will remain on-site.

The Poath Road, Hughesdale level crossing is being removed as part of the Caulfield to Dandenong Level Crossing Removal Project that will see a  new station at Hughesdale constructed.  A crane was located 8m from the 66kV overhead conductors and workers advised their supervisor that slight electric shocks are being received from the crane stabilizer arms and he contacted the United Energy faults and emergencies call centre.",Conductor (bare),Induction,Other
"Caller states the meter has been abolished today and live wires have been left exposed with sparks coming from them.  The site has been evacuated and please contact Shanthini on 0401 660 940 if required.

The faults crew arrived on site and found the home in the URD had been half demolished.  When questioned, the 16 tonne excavator operator said the meter was gone and assumed the electricity supply had been safely removed to allow the demolition work to commence.   No electric shocks or injuries were received.  There had been no abolishment request received and the abolishment process was ignored, although there are contact notes in United Energy records following four enquiries earlier in the day, including the final call about the exposed, sparking wires.  There was also no request for a de-energisation from the previous occupier.",Services cable,,Other
"Emergency services report a car into a pole. 
Crew attended and found a car had struck a pole follow at accident with a truck. 
Driver of car died at the scene. 
Police, Ambulance and CFA in attendance. No protection operated. 
Minor damage to Powercor assets. 
No shocks or ground fire start.",Conductor (bare);Insulator tie wires/connections;Pole (concrete),,Vehicle
"CFA reported transformer explosion and grass fire at incident location.
On arrival  crew found a FOLCB had failed, 
There was a 15x10 metre grass fire.
There was no reported injuries or third party property damage.",Connection box,Corrosion,Connection
"A Jemena contractor discovered a BTS pole that has a neutral screen OH service attached to the pole (ie. relocation of service and meter).
Unauthorised access to the Jemena network.  Refer to the attached photos.",Service conductor;Neutral screen,,Other
"Torquay Police reported cut fence at the incident location (WIN ZSS) and requested call 000 if there was a theft occurred.
Upon arrival, a Powercor crew found that a large hole on the boundary fence. 
They also believe conductor/LV cable drums were taken from the ZSS. 
The Police were informed again but there were unable to attend to scene at the time.
There was no fire, no reported injuries or third party property damage.",Zone substation,,Other
"IMS 233155. Received INCD from Fire Brigade saying that there was a fire at a street light. This is an older public light fitting where the igniter or starter has failed causing a light head fire. 
Please note the reporting delay is due to a delay caused by the investigation officer.",Public lighting,Electrical breakdown,AF Other
"Tim was standing at the laundry basin, when he felt a slight shock to his right hand when adjusting the tap, with his left hand in the water flow.",Connection box,Corrosion,Connection
"Emergency services reported that there was a number of fires in the south west of Victoria.
One of these fires was in the Minjah Hawkesdale area.
The attending crew found damaged conductor near the intersection of Harris Road
Fire damage response and repair activities were undertaken as part of response to a number of fires in the area.",Conductor (bare),,Trees
"Compliance officer attended 107 West street Hadfield for a compliance check of the new connection.
While onsite it was observed the BTS appears to have been relocated,
The pole was installed with excessive movement, one stay not attached,
The overhead service has excessive sag and did not maintain the minimum heights over the road or driveway.",Aluminium twisted (XLPE),,Other
